"ESTC_Number","Author","Author_dates","Title","Edition","Publication_City","Imprint","Imprint_Date","Regularized_Year","Pagination","Illustrations","Format","Citations"
"T172688","Original subscriber to the infirmary in James-Street, Westminster.","","A second letter to a lady from an original subscriber to the infirmary in James-street, Westminster.","","[London?,","","1739?]",1739,"3,[1]p. ;","","2⁰.","Maslen and Lancaster. Bowyer ledgers, 2705"
"T172695","Dalrymple, James,","","Mary Gainer; Helen, Elizabeth, Mary, and Jane, children of the said Mary, appellants. James Dalrymple Esq. respondent. The respondent's case.","","[London,","","1742]",1742,"3,[1]p. ;","","2⁰.","Maslen and Lancaster. Bowyer ledgers, 3009"
"T172738","",NULL,"Votes of the House of Commons,","","London :","printed for Thomas Cox, Charles Bathurst, and John Pemberton,","1743[-44]",1743,"406p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 3147"
"T173018","Hoole, Joseph,","d. 1745.","An address to parents,","","London :","printed for W. and J. Innys,",1724.,1724,"[8],262,[2]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 982"
"T173082","King, William,","1685-1763.","Sermo pedestris.","Editio altera.","Londini :","apud T. Cooper,",1739.,1739,"[4],12p. ;","","2⁰.","Maslen and Lancaster. Bowyer ledgers, 2759"
"T173577","Reeves, William,","1667-1726.","A sermon preach'd in the Chapel-Royal of Saint James's, on the eighth day of August 1714.","","London :","printed by W. B. for Richard Sare,",1714.,1714,"[4],20p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 219"
"T17410","",NULL,"Reasons humbly offer'd in behalf of the inhabitants of the new parish at Deptford.","","[London,","","1725?]",1725,"1 sheet ;","","1/2⁰.","Maslen & Lancaster. Bowyer ledgers, 1133"
"T17415","",NULL,"The case of the Stafford election.","","[London?,","","1725?]",1725,"3,[1]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 1090"
"T17418","",NULL,"Case of the creditors of Alexander Urquhart, Esq;","","[London,","","1725]",1725,"1 sheet ;","","1/2⁰.","Maslen & Lancaster. Bowyer ledgers, 1126"
"T174231","Stanhope, George,","1660-1728.","The sin and folly of immoderate carefulness.","","London :","printed for Richard Sare at Gray's-Inn-Gate in Holbourn,",1712.,1712,"24p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 143"
"T174256","Turpin, Richard,","1706-1739.","The trial of the notorious highwayman Richard Turpin,","The second edition.","York :","printed by Ward and Chandler Booksellers, at their Printing-Office in Coney-Street; and sold at their shop without Temple-Bar, London,","[1739]",1739,"vii,[1],3-25,[1]p. ;","","8⁰.","Maslen and Lancaster. Bowyer ledgers, 2700"
"T174943","Stephens, William,","d. 1718.","A sermon preach'd to the protestants of Ireland, now residing in London, at their anniversary meeting on Octob. 23. 1711.","","London :","printed for A. Baldwin,",1712.,1712,"24p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 111"
"T175095","Moss, Robert,","1666-1729.","A sermon preached at the assizes holden at Kingston upon Thames, on Wednesday 30th of July, 1712.","","London :","printed for Richard Sare,",1712.,1712,"24p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 141"
"T175247","Farquhar, George,","1677?-1707.","The twin-Rivals.","","London :","printed for Bernard Lintott,",1718.,1718,"[10],82,[4]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 461"
"T175609","Foreign Minister Residing in Sweden.","","Memoirs of Sweden,","","London :","printed for W. and J. Innys, at the Prince's Arms at the West End of St. Paul's Church-Yard,",1719.,1719,"[8],184p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 524"
"T175614","Jacob, Hildebrand,","1693-1739.","Patriotic love; an ode.","","London :","printed for W. Lewis,",1737.,1737,"7,[1]p. ;","","2⁰.","Maslen & Lancaster. Bowyer ledgers, 2339"
"T175639","Gastrell, Francis,","1662-1725.","A sermon preached before the House of Lords at the Abbey-Church in Westminster, on Saturday, May 29, 1714. By ... Francis, Lord Bishop of Chester, [sic]","","London :","printed by W. B. for Henry Clements,",1714.,1714,"42[i.e.24]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 207"
"T17572","Whitefield, George,","1714-1770.","Thankfulness for mercies received a necessary duty.","","London :","printed for James Hutton at the Bible and Sun without Temple-Bar,",1738.,1738,"19,[3]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2589"
"T17584","Winstanley, William,","1628?-1698.","Poor Robin.","The fortieth impression.","London :","printed for the Company of Stationers,",1702.,1702,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers (appendixes), D33"
"T17585","Winstanley, William,","1628?-1698.","Poor Robin.","The one and fortieth impression.","London :","printed by W. Bowyer for the Company of Stationers,",1703.,1703,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers (appendixes), D40"
"T17586","Winstanley, William,","1628?-1698.","Poor Robin.","The two and fortieth impression.","London :","printed by W. Bowyer for the Company of Stationers,",1704.,1704,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers (appendixes), D50"
"T17587","Winstanley, William,","1628?-1698.","Poor Robin.","The three and fortieth impression.","London :","printed by W. Bowyer for the Company of Stationers,",1705.,1705,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers (appendixes), D62"
"T17588","Winstanley, William,","1628?-1698.","Poor Robin.","The four and fortieth impression.","London :","printed by W. Bowyer for the Company of Stationers,",1706.,1706,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers (appendixes), D77"
"T17589","Winstanley, William,","1628?-1698.","Poor Robin.","The five and fortieth impression.","London :","printed by W. Bowyer for the Company of Stationers,",1707.,1707,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers (appendixes), D100"
"T17590","Winstanley, William,","1628?-1698.","Poor Robin.","The six and fortieth impression.","London :","printed by W. Bowyer for the Company of Stationers,",1708.,1708,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers (appendixes), D125"
"T17591","Winstanley, William,","1628?-1698.","Poor Robin.","The seven and fortieth impression.","London :","printed by W. Bowyer for the Company of Stationers,",1709.,1709,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers (appendixes), D150"
"T17592","Winstanley, William,","1628?-1698.","Poor Robin.","The eight and fortieth impression.","London :","printed by W. Bowyer, for the Company of Stationers,",1710.,1710,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 10"
"T17593","Winstanley, William,","1628?-1698.","Poor Robin.","The nine and fortieth impression.","London :","printed by W. Bowyer for the Company of Stationers,",1711.,1711,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 34"
"T17594","Winstanley, William,","1628?-1698.","Poor Robin.","The fiftieth impression.","London :","printed by W. Bowyer for the Company of Stationers,",1712.,1712,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 56"
"T17595","Winstanley, William,","1628?-1698.","Poor Robin.","The one and fiftieth impression.","London :","printed by W. Bowyer for the Company of Stationers,",1713.,1713,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 157"
"T17596","Winstanley, William,","1628?-1698.","Poor Robin.","The two and fiftieth impression.","London :","printed by W. Bowyer for the Company of Stationers,",1714.,1714,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 158"
"T17597","Winstanley, William,","1628?-1698.","Poor Robin.","The three and fiftieth impression.","London :","printed by W. Bowyer for the Company of Stationers,",1715.,1715,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 214"
"T17598","Winstanley, William,","1628?-1698.","Poor Robin.","The three and fiftieth impression.","London :","printed by W. Bowyer for the Company of Stationers,",1716.,1716,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 266"
"T17599","Winstanley, William,","1628?-1698.","Poor Robin.","The five and fiftieth impression.","London :","printed by W. Bowyer for the Company of Stationers,",1717.,1717,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 356"
"T17600","Winstanley, William,","1628?-1698.","Poor Robin.","The six and fiftieth impression.","London :","printed by W. Bowyer for the Company of Stationers,",1718.,1718,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 414"
"T17601","",NULL,"Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1719.,1719,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 485"
"T17602","",NULL,"Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1720.,1720,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 593"
"T17603","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1721.,1721,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 700"
"T17604","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1722.,1722,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 791"
"T17605","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1723.,1723,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 885"
"T17606","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1723.,1723,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 986"
"T17607","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1725.,1725,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1078"
"T17608","",NULL,"Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1726.,1726,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1164"
"T17609","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1727.,1727,"[32],16p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1253"
"T17610","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1728.,1728,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1315"
"T17611","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1729.,1729,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1386"
"T17612","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1730.,1730,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1465"
"T17613","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1731.,1731,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1589"
"T17614","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1732.,1732,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1708"
"T17615","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1733.,1733,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1855"
"T17616","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed by W. Bowyer for the Company of Stationers,",1734.,1734,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1981"
"T17617","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed for the Company of Stationers,",1735.,1735,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2086"
"T17618","",NULL,"Poor Robin.","","London :","printed for the Company of Stationers,",1736.,1736,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2187"
"T17619","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed for the Company of Stationers,",1737.,1737,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2303"
"T17620","Winstanley, William,","1628?-1698.","Poor Robin,","","London :","printed for the Company of Stationers,",1738.,1738,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2425"
"T17621","Winstanley, William,","1628?-1698.","Poor Robin,","","London :","printed for the Company of Stationers,",1739.,1739,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2592"
"T17622","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed for the Company of Stationers,",1740.,1740,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2754"
"T17623","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed for the Company of Stationers,",1741.,1741,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2861"
"T17624","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed for the Company of Stationers,",1742.,1742,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2955"
"T17625","",NULL,"Poor Robin.","","London :","printed for the Company of Stationers,",1743.,1743,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 3049"
"T17626","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed for the Company of Stationers,",1744.,1744,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 3125"
"T17627","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed for the Company of Stationers,",1745.,1745,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 3233"
"T17628","Winstanley, William,","1628?-1698.","Poor Robin.","","London :","printed for the Company of Stationers,",1746.,1746,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 3292"
"T17629","Winstanley, William,","1628?-1698.","Poor Robin","The eighty-fifth impression.","London :","printed for the Company of Stationers,",1747.,1747,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 3348"
"T17630","Winstanley, William,","1628?-1698.","Poor Robin","","London :","printed for the Company of Stationers,",1748.,1748,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 3413"
"T17631","Winstanley, William,","1628?-1698.","Poor Robin","The eighty-seventh impression.","London :","printed for the Company of Stationers,",1749.,1749,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 3493"
"T17632","Winstanley, William,","1628?-1698.","Poor Robin","","London :","printed for the Company of Stationers,",1750.,1750,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 3580"
"T17633","Winstanley, William,","1628?-1698.","Poor Robin","","London :","printed for the Company of Stationers,",1751.,1751,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 3641"
"T17634","Winstanley, William,","1628?-1698.","Poor Robin","","London :","printed for the Company of Stationers,",1752.,1752,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 3701"
"T17635","Winstanley, William,","1628?-1698.","Poor Robin.","Being the ninety first edition, ..","London :","printed for the Company of Stationers,",1753.,1753,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 3788"
"T17636","Winstanley, William,","1628?-1698.","Poor Robin.","Being the ninety second edition, ..","London :","printed for the Company of Stationers,",1754.,1754,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 3826"
"T17637","Winstanley, William,","1628?-1698.","Poor Robin.","Being the ninety third edition, ..","London :","printed for the Company of Stationers,",1755.,1755,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 3886"
"T176372","",NULL,"Occasional reflections upon some publick occurrences:","","[London :","s.n.,","1710]",1710,"3,[1]p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 26"
"T17638","Winstanley, William,","1628?-1698.","Poor Robin.","Being the ninety fourth edition, ..","London :","printed for the Company of Stationers,",1756.,1756,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 3988"
"T17639","Winstanley, William,","1628?-1698.","Poor Robin.","Being the ninety fifth edition, ..","London :","printed for the Company of Stationers,",1757.,1757,"[48]p. :","ill. ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4073"
"T17640","Winstanley, William,","1628?-1698.","Poor Robin.","Being the ninety sixth edition, ..","London :","printed for the Company of Stationers,",1758.,1758,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4146"
"T17641","Winstanley, William,","1628?-1698.","Poor Robin.","Being the ninety seventh edition, ..","London :","printed for the Company of Stationers,",1759.,1759,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4195"
"T176420","Florus, Lucius Annaeus.","","L. Annæi Flori libri IV.","","Londini :","typis Gul. Bowyer, pro Societate Stationariorum,","MDCCXV. [1715]",1715,"[2],156,[2]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 258"
"T17643","Winstanley, William,","1628?-1698.","Poor Robin.","Being the ninety ninth edition, ..","London :","printed for the Company of Stationers,",1761.,1761,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4286"
"T17644","Winstanley, William,","1628?-1698.","Poor Robin.","Being the hundredth edition, ..","London :","printed for the Company of Stationers,",1762.,1762,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4344"
"T17645","Winstanley, William,","1628?-1698.","Poor Robin.","Being the hundred and first edition, ..","London :","printed for the Company of Stationers,",1763.,1763,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4385"
"T17646","Winstanley, William,","1628?-1698.","Poor Robin.","Being the hundred and second edition, ..","London :","printed for the Company of Stationers,",1764.,1764,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4451"
"T17647","Winstanley, William,","1628?-1698.","Poor Robin.","Being the hundred and third edition, ..","London :","printed for the Company of Stationers,","MDCCLXV. [1765]",1765,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4526"
"T17648","Winstanley, William,","1628?-1698.","Poor Robin.","Being the one hundred and fourth edition; ..","London :","printed for the Company of Stationers,",1766.,1766,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4574"
"T17649","Winstanley, William,","1628?-1698.","Poor Robin.","Being the one hundred and fifth edition; ..","London :","printed for the Company of Stationers,",1767.,1767,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4639"
"T17650","Winstanley, William,","1628?-1698.","Poor Robin.","Being the one hundred and sixth edition, ..","London :","printed for the Company of Stationers,",1768.,1768,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4693"
"T17651","Winstanley, William,","1628?-1698.","Poor Robin.","Being the one hundred and seventh edition, ..","London :","printed for the Company of Stationers,",1769.,1769,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4738"
"T17652","Winstanley, William,","1628?-1698.","Poor Robin.","Being the one hundred and eighth edition, ..","London :","printed for the Company of Stationers,",1770.,1770,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4804"
"T17653","Winstanley, William,","1628?-1698.","Poor Robin.","Being the one hundred and ninth edition, ..","London :","printed for the Company of Stationers,",1771.,1771,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4858"
"T17654","Winstanley, William,","1628?-1698.","Poor Robin.","Being the one hundred and tenth edition, ..","London :","printed for the Company of Stationers,",1772.,1772,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4896"
"T17655","Winstanley, William,","1628?-1698.","Poor Robin.","Being the one hundred and eleventh edition, ..","London :","printed by W. Bowyer and J. Nichols, for the Company of Stationers,",1773.,1773,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 4963"
"T17656","Winstanley, William,","1628?-1698.","Poor Robin.","Being the one hundred and twelfth edition, ..","London :","printed W. Bowyer and J. Nichols for the Company of Stationers,",1774.,1774,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 5022"
"T17657","Winstanley, William,","1628?-1698.","Poor Robin.","Being the one hundred and thirteenth edition, ..","London :","printed by W. Bowyer and J. Nichols, for the Company of Stationers,","[1775]",1775,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 5066"
"T17658","Winstanley, William,","1628?-1698.","Poor Robin.","Being the one hundred and fourteenth edition, ..","London :","printed for the Company of Stationers and sold by George Hawkins,","[1776]",1776,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 5108"
"T17659","Winstanley, William,","1628?-1698.","Old Poor Robin.","Being the one hundred and fifteenth edition, ..","London :","printed for the Company of Stationers and sold by George Hawkins, at their Hall in Ludgate-Street,","[1777]",1777,"[48]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 5143"
"T177115","Ephraem,","303-373.","A serious exhortation to repentance and sorrow for sin,","","London :","printed by William Bowyer, sold by W. Innys and C. Rivington, and R. Williamson,",1731.,1731,"[16],31,[1]p. :","port. ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1679"
"T177134","Beveridge, William,","1637-1708.","The true nature of the Christian church, the office of its ministers, and the means of grace administred by them explain'd. In twelve sermons. By the Right Reverend ... William Beveridge, ...","The second edition. ..","London :","printed by J. L. for R. Smith,","1709-15.",1709,"10v.,plate :","port. ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 139"
"T177447","H. B.,","","Observations on an essay to ascertain the value of leases and annuities for years and lives, by Weyman Lee, Esq; wherein Dr. Halley's method is particularly consider'd,","","London :","printed for C. Bathurst,",1739.,1739,"[4],48p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2675"
"T177845","Innes, Alexander,","ca. 1675-1742?.","Twelve sermons preach'd on several occasions, at the church of St. Margaret Westminster.","","London :","printed for W. and J. Innys, C. King, G. Strahan, and J. Isted,",1726.,1726,"[16],384p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1211"
"T17792","Keble, Joseph,","1632-1710.","An essay of human actions. By Joseph Keble, Esq;","","London :","printed for Samuel Keble, junior,",1710.,1710,"55,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 21"
"T178365","Taswell, William,","1652-1731.","The popish priest unmasked.","","London :","printed for Richard Sare,",1722.,1722,"[4],51,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 802"
"T178517","Sherlock, Thomas,","1678-1761.","The use and intent of prophecy,","","London :","printed for J. Pemberton against St. Dunstan's Church in Fleetstreet,",1728.,1728,"[8],344p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1200"
"T178734","Wake, William,","1657-1737.","Sermons preached upon several occasions. By William Wake, D.D. ...","","London :","printed for Richard Sare; D. Midwinter and B. Cowse,",1722.,1722,"2v. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 833"
"T179169","",NULL,"Settlements and devises for the endowment of the charity-school at Dunstable.","","London :","printed for the use of the founders and trustees,",1735.,1735,"43,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2210"
"T179464","South, Robert,","1634-1716.","Twelve sermons preached upon several occasions.","The fourth edition.","London :","printed by W. Bowyer, for Jonah Bowyer at the Rose in Ludgate-Street,","MDCCXVIII. [1718]",1718,"v.1([8],500,[4]p.),plate :","port. ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 416"
"T179490","South, Robert,","1634-1716.","Twelve sermons preached upon several occasions.","The fourth edition.","London :","printed for Jonah Bowyer, at the Rose in Ludgate-Street,",1718.,1718,"v.2 ([16],480p.),plate ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 449"
"T179496","South, Robert,","1634-1716.","Twelve sermons preached at several times,","The second edition.","London :","printed by W. Bowyer, for Jonah Bowyer at the Rose in Ludgate-Street,","MDCCXVIII. [1718]",1718,"v.4([8],542,[2]p.),plate ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 418"
"T179676","Josephus, Flavius.","","The works of Flavius Josephus.","The third edition. ..","London :","printed by W. B. for Richard Sare,",1716.,1716,"3v.,plates :","ill.,maps,ports. ;","8⁰.","Maslen & Lancaster. Bowyer ledgers, 301"
"T179782","Farquhar, George,","1677?-1707.","The recruiting officer.","","London :","printed for Bernard Lintot,",1721.,1721,"[8],87,[1]p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 780"
"T179796","Willymott, William,","d. 1737.","Shorter examples to Lily's grammar-rules,","","London :","printed for J. Slatter, at Eton, B. and S. Tooke, W. and J. Innys [London],",1721.,1721,"144p. ;","","12⁰.","Maslen & Lancaster. Bowyer ledgers, 787"
"T179976","",NULL,"A Whitson gift to the fenn men in the Isle of Ely.","","[London,","","1730]",1730,"[4]p. ;","","4⁰.","Maslen & Lancaster. Bowyer ledgers, 1562"
"T179995","Horace.","","The odes,","The third edition.","London :","printed for John Osborn, at the Golden Ball in Pater-Noster Row,","M.DCC.XXXVII. [1737]",1737,"[6],138,[6]p.,plate :","port. ;","12⁰.","Maslen & Lancaster. Bowyer ledgers, 482"
"T18028","Lupton, William,","1675 or 6-1726.","A sermon preached at the parish-church of St. Dunstan's in the West,","","London :","printed for Tim Goodwin at the Queen's-Head against St. Dunstan's Church, in Fleet-Street,","[1720]",1720,"42,[2]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 720"
"T18060","Brokesby, Francis,","1637-1714.","The works of the learned Mr. Henry Dodwell abridg'd:","The second edition.","London :","printed for William and John Innys at the West End of St. Paul's,",1723.,1723,"2v.([38],306,[2],307-638,[2]p.), plate ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 873"
"T18064","Brokesby, Francis,","1637-1714.","An history of the government of the primitive church,","","London :","printed by W. B. for W. Taylor at the Ship in Pater-Noster-Row, R. Gosling at the Mitre near the Inner-Temple-Gate in Fleet-Street, and H. Clements at the Half-Moon in St. Paul's Church-Yard,",1712.,1712,"[6],xlvi,[12],245,[3]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 120"
"T18108","Culpepper, Nathanael,","17th/18th cent.","Culpepper revived.","","London :","printed by T. Burdet, for the Company of Stationers,",1726.,1726,"[40]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1162"
"T18110","Culpepper, Nathanael,","17th/18th cent.","Culpepper revived.","","London :","printed by J. Janeway for the Company of Stationers,","[1733]",1733,"[40]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1854"
"T181109","King, William,","1663-1712.","A vindication of the Reverend Dr. Henry Sacheverell,","","London :","printed for H. Clements, at the Half-Moon in St. Paul's Church-Yard,","[1711]",1711,"[8],99,[1]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 63"
"T18111","Culpepper, Nathanael,","17th/18th cent.","Culpeper revived.","","London :","printed by J. Janeway for the Company of Stationers,",1724.,1724,"[40]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 987"
"T18112","Culpepper, Nathanael,","17th/18th cent.","Culpepper revived.","","London :","printed by J. Janeway, for the Company of Stationers. Imprimatur E.B. 3d. June, 1737,","[1737]",1737,"[40]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 2433"
"T18113","Culpepper, Nathanael,","17th/18th cent.","Culpepper revived.","","London :","printed by T. Burdet, for the Company of Stationers. Imprimatur S.L. Maii 19, 1727,",1728.,1728,"[40]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1313"
"T18114","Culpepper, Nathanael,","17th/18th cent.","Culpepper revived:","","London :","printed by E. Janeway, for the Company of Stationers,",1725.,1725,"[40]p. ;","","8⁰.","Maslen & Lancaster. Bowyer ledgers, 1081"
